User Name,Tag,Source,currentRank,currentMMR,peakRank,peakMMR,headShotPercent,headShotHit,bodyShotPercent,bodyShotHit,legShotPercent,legShotHit,firstTopWeponLabel,firstTopWeponType,firstTopWeponKills,secondTopWeponLabel,secondTopWeponType,secondTopWeponKills,thirdTopWeponLabel,thirdTopWeponType,thirdTopWeponKills,Bind Win,Bind Loss,Ascent Win,Ascent Loss,Fracture Win,Fracture Loss,Haven Win,Haven Loss,Breeze Win,Breeze Loss,Icebox Win,Icebox Loss,Pearl Win,Pearl Loss,Wins,Loss,Damage/Round,K/D Ratio,Win %,Kills,Deaths,Assists,Score/Round,KAD Ratio,Kills/Round,Plants,First Bloods,Clutches,Flawless,Aces,Ares-Kills,Ares-Death,Ares-HeadShot%,Ares-Damage/Round,Ares-kills/Round,Ares-Longest Kill Distance,Bucky-Kills,Bucky-Death,Bucky-HeadShot%,Bucky-Damage/Round,Bucky-kills/Round,Bucky-Longest Kill Distance,Bulldog-Kills,Bulldog-Death,Bulldog-HeadShot%,Bulldog-Damage/Round,Bulldog-kills/Round,Bulldog-Longest Kill Distance,Classic-Kills,Classic-Death,Classic-HeadShot%,Classic-Damage/Round,Classic-kills/Round,Classic-Longest Kill Distance,Frenzy-Kills,Frenzy-Death,Frenzy-HeadShot%,Frenzy-Damage/Round,Frenzy-kills/Round,Frenzy-Longest Kill Distance,Ghost-Kills,Ghost-Death,Ghost-HeadShot%,Ghost-Damage/Round,Ghost-kills/Round,Ghost-Longest Kill Distance,Guardian-Kills,Guardian-Death,Guardian-HeadShot%,Guardian-Damage/Round,Guardian-kills/Round,Guardian-Longest Kill Distance,Judge-Kills,Judge-Death,Judge-HeadShot%,Judge-Damage/Round,Judge-kills/Round,Judge-Longest Kill Distance,Marshal-Kills,Marshal-Death,Marshal-HeadShot%,Marshal-Damage/Round,Marshal-kills/Round,Marshal-Longest Kill Distance,Melee-Kills,Melee-Death,Melee-HeadShot%,Melee-Damage/Round,Melee-kills/Round,Melee-Longest Kill Distance,Odin-Kills,Odin-Death,Odin-HeadShot%,Odin-Damage/Round,Odin-kills/Round,Odin-Longest Kill Distance,Operator-Kills,Operator-Death,Operator-HeadShot%,Operator-Damage/Round,Operator-kills/Round,Operator-Longest Kill Distance,Phantom-Kills,Phantom-Death,Phantom-HeadShot%,Phantom-Damage/Round,Phantom-kills/Round,Phantom-Longest Kill Distance,Sheriff-Kills,Sheriff-Death,Sheriff-HeadShot%,Sheriff-Damage/Round,Sheriff-kills/Round,Sheriff-Longest Kill Distance,Shorty-Kills,Shorty-Death,Shorty-HeadShot%,Shorty-Damage/Round,Shorty-kills/Round,Shorty-Longest Kill Distance,Spectre-Kills,Spectre-Death,Spectre-HeadShot%,Spectre-Damage/Round,Spectre-kills/Round,Spectre-Longest Kill Distance,Stinger-Kills,Stinger-Death,Stinger-HeadShot%,Stinger-Damage/Round,Stinger-kills/Round,Stinger-Longest Kill Distance,Vandal-Kills,Vandal-Death,Vandal-HeadShot%,Vandal-Damage/Round,Vandal-kills/Round,Vandal-Longest Kill Distance,Astra-TimePlayer,Astra-Matches,Astra-Win%,Astra-K/D,Astra-ADR,Astra-ACS,Astra-HS%,Astra-KAST,Breach-TimePlayer,Breach-Matches,Breach-Win%,Breach-K/D,Breach-ADR,Breach-ACS,Breach-HS%,Breach-KAST,Brimstone-TimePlayer,Brimstone-Matches,Brimstone-Win%,Brimstone-K/D,Brimstone-ADR,Brimstone-ACS,Brimstone-HS%,Brimstone-KAST,Chamber-TimePlayer,Chamber-Matches,Chamber-Win%,Chamber-K/D,Chamber-ADR,Chamber-ACS,Chamber-HS%,Chamber-KAST,Cypher-TimePlayer,Cypher-Matches,Cypher-Win%,Cypher-K/D,Cypher-ADR,Cypher-ACS,Cypher-HS%,Cypher-KAST,Fade-TimePlayer,Fade-Matches,Fade-Win%,Fade-K/D,Fade-ADR,Fade-ACS,Fade-HS%,Fade-KAST,Harbor-TimePlayer,Harbor-Matches,Harbor-Win%,Harbor-K/D,Harbor-ADR,Harbor-ACS,Harbor-HS%,Harbor-KAST,Jett-TimePlayer,Jett-Matches,Jett-Win%,Jett-K/D,Jett-ADR,Jett-ACS,Jett-HS%,Jett-KAST,KAY/O-TimePlayer,KAY/O-Matches,KAY/O-Win%,KAY/O-K/D,KAY/O-ADR,KAY/O-ACS,KAY/O-HS%,KAY/O-KAST,Killjoy-TimePlayer,Killjoy-Matches,Killjoy-Win%,Killjoy-K/D,Killjoy-ADR,Killjoy-ACS,Killjoy-HS%,Killjoy-KAST,Neon-TimePlayer,Neon-Matches,Neon-Win%,Neon-K/D,Neon-ADR,Neon-ACS,Neon-HS%,Neon-KAST,Omen-TimePlayer,Omen-Matches,Omen-Win%,Omen-K/D,Omen-ADR,Omen-ACS,Omen-HS%,Omen-KAST,Phoenix-TimePlayer,Phoenix-Matches,Phoenix-Win%,Phoenix-K/D,Phoenix-ADR,Phoenix-ACS,Phoenix-HS%,Phoenix-KAST,Raze-TimePlayer,Raze-Matches,Raze-Win%,Raze-K/D,Raze-ADR,Raze-ACS,Raze-HS%,Raze-KAST,Reyna-TimePlayer,Reyna-Matches,Reyna-Win%,Reyna-K/D,Reyna-ADR,Reyna-ACS,Reyna-HS%,Reyna-KAST,Sage-TimePlayer,Sage-Matches,Sage-Win%,Sage-K/D,Sage-ADR,Sage-ACS,Sage-HS%,Sage-KAST,Skye-TimePlayer,Skye-Matches,Skye-Win%,Skye-K/D,Skye-ADR,Skye-ACS,Skye-HS%,Skye-KAST,Sova-TimePlayer,Sova-Matches,Sova-Win%,Sova-K/D,Sova-ADR,Sova-ACS,Sova-HS%,Sova-KAST,Viper-TimePlayer,Viper-Matches,Viper-Win%,Viper-K/D,Viper-ADR,Viper-ACS,Viper-HS%,Viper-KAST,Yoru-TimePlayer,Yoru-Matches,Yoru-Win%,Yoru-K/D,Yoru-ADR,Yoru-ACS,Yoru-HS%,Yoru-KAST
SEN zekken,#5193,https://tracker.gg/valorant/profile/riot/SEN%20zekken%235193,Immortal 1,24RR,Radiant,"1,283RR",0.294,365,0.649,806,0.057,71,Vandal,Assault Rifles,3413,Ghost,Sidearms,340,Phantom,Assault Rifles,290,29,13,31,9,25,11,20,12,25,16,25,11,20,14,175.0,86,176.3,1.42,66.8,5496.0,3865.0,1377.0,270.3,1.78,1.0,,753.0,,235.0,17.0,2,5,0.0%,161.0,1.0,33m,1,7,33.3%,153.0,1.0,7.8m,41,35,48.1%,110.8,0.8,56m,161,98,47.8%,38.7,0.3,40.4m,48,30,33.9%,78.8,0.7,31.4m,340,220,51.6%,111.5,1.0,54.4m,68,63,59.4%,133.5,0.7,56.1m,0,47,0.0%,0.0,0.0,0m,64,42,58.0%,81.5,0.5,56.4m,7,4,0.0%,90.0,1.0,1.9m,2,13,28.6%,76.2,0.5,11.6m,111,181,11.2%,138.7,0.8,55.6m,290,408,45.2%,164.7,1.0,49.2m,160,175,65.9%,90.2,0.6,52.1m,2,25,25.0%,74.5,0.5,6.3m,273,185,44.1%,96.2,0.8,62.2m,147,76,35.0%,83.1,0.6,46.9m,"3,413","1,938",55.6%,162.1,1.0,97.9m,1.7 hrs,3,66.7%,1.21,148.0,227.0,50.0%,,4.8 hrs,9,44.4%,1.18,147.1,230.3,42.1%,,5.3 hrs,9,55.6%,1.32,169.4,263.5,48.0%,,17 hrs,32,59.4%,1.45,181.3,280.4,41.1%,,4.1 hrs,7,42.9%,1.34,160.5,247.1,39.5%,,4.9 hrs,9,77.8%,1.60,169.0,259.7,48.7%,,,,,,,,,,7.4 hrs,13,61.5%,1.20,163.6,253.5,39.4%,,4.3 hrs,7,42.9%,1.20,162.4,249.6,34.4%,,3.2 hrs,5,80.0%,1.56,178.5,268.4,28.0%,,7.5 hrs,13,38.5%,1.13,167.1,254.9,40.9%,,5.0 hrs,9,44.4%,1.39,164.6,256.2,45.7%,,3.2 hrs,6,50.0%,1.32,178.8,279.0,40.5%,,17 hrs,30,83.3%,1.46,201.5,310.1,30.1%,,14 hrs,25,68.0%,1.42,175.2,272.2,38.4%,,,,,,,,,,4.5 hrs,8,75.0%,1.57,170.1,262.8,35.9%,,37 hrs,67,82.1%,1.55,178.1,268.7,43.2%,,4.5 hrs,9,44.4%,1.70,187.9,278.4,47.0%,,0.5 hrs,1,100.0%,1.20,159.3,229.3,32.3%,
aika,#1558,https://tracker.gg/valorant/profile/riot/aika%231558,Immortal 1,10RR,Radiant,"1,174RR",0.252,288,0.691,789,0.056,64,Vandal,Assault Rifles,2626,Spectre,SMGs,351,Phantom,Assault Rifles,328,21,19,21,12,28,10,22,16,20,14,22,14,20,12,154.0,97,157.2,1.25,61.1,4660.0,3720.0,1156.0,242.0,1.56,0.9,,541.0,,219.0,10.0,6,7,42.9%,249.3,2.0,24.2m,0,6,0.0%,0.0,0.0,0m,68,51,29.8%,133.8,1.0,58.4m,113,106,37.9%,29.0,0.3,45.8m,33,27,32.3%,62.6,0.6,28.7m,314,217,45.4%,93.9,0.8,52.6m,30,64,45.7%,97.0,0.5,56.1m,31,39,11.1%,81.9,0.6,10.9m,16,47,18.8%,56.4,0.5,54m,1,2,0.0%,150.0,1.0,0.8m,7,13,13.0%,100.4,0.8,27.2m,112,134,4.5%,120.8,0.8,66.2m,328,476,32.2%,139.4,0.9,50.4m,176,198,56.0%,68.1,0.4,65.3m,34,26,12.5%,62.7,0.6,9.9m,351,160,21.6%,92.6,0.8,35.9m,72,109,22.3%,57.2,0.4,30.8m,"2,626","1,835",35.8%,141.0,0.9,74.5m,1.4 hrs,2,50.0%,1.33,170.0,264.1,27.6%,,1.5 hrs,3,66.7%,1.05,136.8,207.5,24.5%,,4.8 hrs,9,66.7%,1.43,160.0,250.8,26.8%,,19 hrs,32,53.1%,1.30,157.3,240.8,27.6%,,5.6 hrs,11,18.2%,0.78,115.9,173.2,24.1%,,4.4 hrs,8,50.0%,0.92,122.2,190.9,24.0%,,,,,,,,,,42 hrs,73,61.6%,1.27,165.1,258.3,26.6%,,2.4 hrs,4,100.0%,1.32,163.5,254.7,29.0%,,9.6 hrs,18,77.8%,1.42,155.8,240.5,21.5%,,,,,,,,,,4.9 hrs,8,62.5%,1.18,139.7,214.9,22.4%,,,,,,,,,,17 hrs,32,71.9%,1.43,178.2,273.2,20.3%,,15 hrs,29,62.1%,1.30,164.2,248.2,26.6%,,,,,,,,,,2.9 hrs,5,40.0%,1.00,128.6,198.6,24.9%,,6.0 hrs,11,54.5%,1.01,134.6,196.6,28.8%,,2.8 hrs,4,75.0%,1.15,132.2,198.7,28.3%,,1.8 hrs,3,66.7%,0.98,126.0,205.1,17.6%,
wedid,#0702,https://tracker.gg/valorant/profile/riot/wedid%230702,Radiant,540RR,Radiant,"1,145RR",0.27,338,0.668,836,0.062,78,Vandal,Assault Rifles,2820,Phantom,Assault Rifles,1104,Ghost,Sidearms,453,28,17,29,16,29,18,26,22,33,15,27,21,27,19,199.0,128,152.7,1.2,60.5,5711.0,4754.0,1909.0,230.5,1.6,0.8,,642.0,,285.0,10.0,1,6,0.0%,27.5,0.5,22.9m,0,6,0.0%,0.0,0.0,0m,73,70,34.1%,98.4,0.7,42.9m,160,124,40.9%,49.3,0.4,35.4m,13,59,31.4%,78.8,0.7,21.4m,453,285,56.2%,92.2,0.8,49.3m,60,80,41.7%,133.1,0.7,46.9m,3,58,14.3%,45.3,0.5,6.6m,109,57,52.3%,86.7,0.5,61.4m,3,0,66.7%,125.0,1.0,1.5m,2,24,40.0%,63.2,0.5,17.1m,42,175,14.0%,116.3,0.7,48.3m,"1,104",561,39.5%,137.5,0.8,63.6m,334,222,60.9%,81.5,0.5,52.7m,0,22,0.0%,0.0,0.0,0m,122,227,31.6%,82.3,0.7,51.3m,195,95,26.6%,71.4,0.6,39.3m,"2,820","2,366",43.6%,138.8,0.8,68.1m,8.4 hrs,14,42.9%,1.07,150.3,223.3,34.7%,,4.0 hrs,7,71.4%,1.21,138.7,219.5,33.5%,,7.4 hrs,14,50.0%,1.06,141.6,215.9,32.7%,,10 hrs,19,57.9%,1.14,145.0,218.6,33.3%,,10 hrs,20,45.0%,1.09,139.4,207.3,35.7%,,3.3 hrs,6,50.0%,1.04,141.7,211.3,31.8%,,7.6 hrs,14,35.7%,0.98,125.5,190.9,35.6%,,8.9 hrs,16,62.5%,1.22,168.3,253.6,32.0%,,3.9 hrs,6,50.0%,1.03,139.7,217.4,41.2%,,19 hrs,34,55.9%,1.35,169.6,251.7,26.7%,,,,,,,,,,16 hrs,30,66.7%,1.13,140.6,218.3,34.4%,,0.4 hrs,1,100.0%,2.83,178.0,282.2,33.3%,,20 hrs,35,68.6%,1.30,175.3,260.7,23.8%,,7.9 hrs,15,53.3%,1.21,155.0,235.7,31.8%,,9.8 hrs,17,82.4%,1.40,154.9,235.5,35.5%,,1.5 hrs,3,100.0%,1.45,136.4,225.7,32.0%,,6.2 hrs,11,63.6%,1.05,136.5,196.1,33.2%,,37 hrs,67,65.7%,1.25,153.6,233.2,31.4%,,,,,,,,,
BabyJ,#Halo,https://tracker.gg/valorant/profile/riot/BabyJ%23Halo,Radiant,538RR,Radiant,"1,132RR",0.296,307,0.672,698,0.032,33,Vandal,Assault Rifles,3143,Phantom,Assault Rifles,2129,Ghost,Sidearms,430,26,27,37,19,35,23,38,23,43,16,25,24,30,26,234.0,158,156.7,1.25,59.4,7056.0,5635.0,2078.0,238.9,1.62,0.8,,928.0,,307.0,15.0,4,9,33.3%,105.3,0.7,32.1m,5,7,17.6%,114.3,0.7,6.3m,71,83,40.5%,99.0,0.7,50.5m,356,143,46.0%,54.2,0.5,54.2m,40,61,21.4%,73.1,0.8,37.7m,430,323,44.9%,99.2,0.9,52.9m,49,86,46.6%,161.8,0.9,49.9m,3,56,11.1%,156.7,1.0,13.2m,36,66,50.0%,106.0,0.6,63.3m,3,3,0.0%,150.0,1.0,1.6m,1,35,100.0%,26.0,0.2,33.4m,19,203,15.0%,105.9,0.6,53m,"2,129",632,33.1%,143.4,0.9,68.8m,328,286,64.2%,76.3,0.5,62.9m,3,29,10.3%,124.3,1.0,5.8m,332,266,26.7%,86.2,0.7,43.8m,53,131,37.3%,71.3,0.5,37.4m,"3,143","2,870",40.9%,149.8,0.9,64.7m,2.3 hrs,4,50.0%,1.25,142.0,224.9,36.6%,,0.5 hrs,1,0.0%,0.50,88.5,124.8,60.0%,,1.6 hrs,3,0.0%,1.38,182.2,270.1,41.7%,,1.1 hrs,2,0.0%,0.76,110.6,164.3,33.3%,,80 hrs,141,66.7%,1.30,158.0,242.1,29.6%,,23 hrs,41,41.5%,1.17,149.3,229.7,31.8%,,,,,,,,,,0.5 hrs,1,100.0%,1.36,172.4,253.2,24.6%,,1.8 hrs,3,100.0%,1.21,160.7,249.1,28.9%,,60 hrs,104,56.7%,1.29,163.4,243.3,23.9%,,,,,,,,,,1.2 hrs,2,50.0%,0.79,106.8,163.4,23.8%,,,,,,,,,,0.3 hrs,1,0.0%,0.08,65.8,75.1,11.8%,,0.5 hrs,1,100.0%,1.07,130.3,190.5,26.5%,,47 hrs,83,61.4%,1.21,152.1,236.5,32.0%,,,,,,,,,,0.9 hrs,2,50.0%,1.10,161.4,242.4,42.7%,,2.8 hrs,5,80.0%,1.56,180.0,270.9,34.1%,,,,,,,,,
V1 Noia,#iceqb,https://tracker.gg/valorant/profile/riot/V1%20Noia%23iceqb,Immortal 2,126RR,Radiant,951RR,0.354,326,0.608,559,0.038,35,Vandal,Assault Rifles,4859,Sheriff,Sidearms,558,Ghost,Sidearms,484,36,28,37,34,32,35,32,30,31,34,37,24,34,24,239.0,209,157.6,1.2,53.2,8248.0,6875.0,1681.0,239.5,1.44,0.9,,1129.0,,318.0,14.0,4,7,20.0%,187.0,2.0,30.1m,6,15,13.9%,44.4,0.4,8.4m,68,63,50.3%,123.7,0.8,51.7m,63,157,41.1%,6.6,0.1,45.4m,10,68,19.4%,39.7,0.3,25.5m,484,375,49.4%,80.1,0.7,50m,125,103,60.7%,118.2,0.6,62.3m,17,61,16.9%,37.1,0.3,11.1m,31,98,43.8%,93.9,0.6,61.6m,1,5,0.0%,150.0,1.0,1.1m,1,21,66.7%,212.0,1.0,19.1m,450,301,10.0%,126.2,0.8,72.9m,210,841,47.5%,155.3,0.9,51.9m,558,376,50.6%,83.6,0.6,59.4m,5,33,7.1%,15.8,0.1,6.5m,166,302,30.3%,66.2,0.6,46m,10,162,35.5%,61.2,0.5,26.7m,"4,859","3,350",46.3%,145.4,0.9,70.1m,11 hrs,21,52.4%,1.24,156.5,239.0,35.2%,,2.3 hrs,4,0.0%,0.76,114.3,179.0,27.2%,,12 hrs,21,57.1%,1.20,161.0,246.0,33.5%,,89 hrs,163,50.3%,1.29,161.8,246.4,32.6%,,5.5 hrs,10,60.0%,1.17,145.8,222.3,37.9%,,3.9 hrs,8,87.5%,1.08,138.9,205.4,34.2%,,,,,,,,,,46 hrs,82,52.4%,1.11,159.4,244.4,34.3%,,2.2 hrs,4,50.0%,1.03,157.3,229.9,40.1%,,11 hrs,21,57.1%,1.18,153.1,224.9,31.6%,,2.3 hrs,5,40.0%,0.97,152.3,236.1,27.4%,,13 hrs,23,52.2%,1.21,154.1,238.7,39.8%,,,,,,,,,,6.4 hrs,11,63.6%,0.95,146.5,216.3,27.5%,,19 hrs,35,51.4%,1.24,161.2,245.7,34.0%,,5.1 hrs,10,60.0%,1.13,140.4,212.1,34.2%,,1.2 hrs,3,100.0%,1.24,114.5,176.6,40.5%,,1.2 hrs,2,50.0%,1.05,157.1,218.5,28.9%,,14 hrs,26,57.7%,1.23,159.1,236.5,31.7%,,,,,,,,,
alex2005,#kun,https://tracker.gg/valorant/profile/riot/alex2005%23kun,Immortal 2,94RR,Radiant,907RR,0.277,306,0.661,730,0.062,69,Vandal,Assault Rifles,1604,Ghost,Sidearms,215,Sheriff,Sidearms,189,8,13,8,11,11,9,14,14,17,6,18,11,12,12,88.0,76,157.0,1.15,53.0,2939.0,2555.0,698.0,239.6,1.42,0.8,,462.0,,126.0,5.0,0,1,0.0%,0.0,0.0,0m,3,4,25.0%,43.5,0.3,4.6m,11,42,26.7%,99.4,0.7,39.6m,68,66,31.6%,24.4,0.2,40.8m,8,31,20.8%,88.4,0.8,16.3m,215,140,45.8%,99.6,0.8,53.9m,40,26,45.8%,129.9,0.7,58.3m,16,24,14.8%,64.7,0.5,12.3m,63,30,36.5%,103.8,0.7,64m,1,0,0.0%,75.0,1.0,1.6m,1,2,0.0%,178.0,1.0,24.5m,151,117,14.8%,170.1,1.0,60.4m,178,293,38.7%,143.1,0.8,60.5m,189,124,60.8%,75.6,0.5,57.9m,14,14,8.3%,27.1,0.2,13.6m,80,123,19.9%,72.1,0.6,41m,32,63,25.2%,46.4,0.3,26.6m,"1,604","1,275",43.0%,143.7,0.9,67.7m,1.6 hrs,3,0.0%,0.82,116.0,169.7,25.9%,,,,,,,,,,2.3 hrs,5,80.0%,0.97,118.6,182.3,24.8%,,5.5 hrs,11,72.7%,1.45,158.0,244.2,32.4%,,,,,,,,,,5.1 hrs,11,45.5%,1.07,139.1,213.5,31.1%,,,,,,,,,,38 hrs,70,50.0%,1.19,164.3,253.1,31.4%,,0.6 hrs,1,0.0%,0.95,165.0,228.7,28.6%,,1.9 hrs,3,66.7%,1.11,146.0,223.8,30.8%,,,,,,,,,,0.9 hrs,2,50.0%,1.23,141.6,226.6,22.7%,,0.3 hrs,1,0.0%,0.31,59.0,89.6,15.0%,,14 hrs,28,42.9%,1.05,164.1,245.4,22.0%,,7.2 hrs,13,84.6%,1.18,155.4,238.1,30.4%,,1.2 hrs,2,50.0%,1.10,161.4,236.0,37.1%,,1.7 hrs,3,33.3%,1.12,143.7,209.9,32.6%,,4.8 hrs,9,66.7%,1.20,158.7,234.8,41.8%,,1.5 hrs,3,66.7%,1.15,133.7,212.9,35.1%,,0.5 hrs,1,0.0%,1.00,137.1,219.7,37.2%,
Dani,#DDD,https://tracker.gg/valorant/profile/riot/Dani%23DDD,Immortal 1,37RR,Radiant,"1,051RR",0.263,287,0.665,727,0.072,79,Vandal,Assault Rifles,1659,Phantom,Assault Rifles,632,Ghost,Sidearms,295,12,17,26,11,18,12,19,12,22,11,9,19,13,21,119.0,103,145.9,1.1,53.4,3624.0,3281.0,1254.0,220.2,1.49,0.8,,479.0,,206.0,2.0,0,3,0.0%,0.0,0.0,0m,5,1,11.4%,84.4,0.6,10.7m,72,29,32.5%,99.5,0.7,58.4m,43,84,41.7%,26.1,0.2,32.1m,4,17,27.3%,30.3,0.3,44.3m,295,192,42.2%,85.7,0.8,48.8m,36,47,48.1%,103.2,0.6,66m,3,23,0.0%,39.8,0.4,11.7m,17,37,38.1%,57.2,0.3,58.3m,1,2,0.0%,100.0,1.0,1m,53,9,16.2%,101.0,0.7,41.3m,130,133,11.2%,109.4,0.7,63.3m,632,390,34.4%,115.1,0.7,54.7m,174,157,57.6%,66.8,0.4,55.5m,17,15,8.7%,63.6,0.6,14.8m,215,147,27.1%,79.0,0.7,36.6m,28,69,17.0%,53.3,0.4,41.2m,"1,659","1,665",38.5%,127.4,0.8,61.8m,1.1 hrs,2,100.0%,1.00,142.9,208.2,22.0%,,1.9 hrs,3,33.3%,0.84,124.4,188.8,31.8%,,3.0 hrs,5,40.0%,1.12,136.8,215.9,25.0%,,5.9 hrs,10,30.0%,0.90,123.3,189.6,26.2%,,17 hrs,30,53.3%,1.06,138.0,209.8,23.4%,,3.8 hrs,6,33.3%,1.04,127.4,200.6,28.2%,,,,,,,,,,4.9 hrs,9,55.6%,1.25,164.4,255.9,28.0%,,4.5 hrs,8,75.0%,1.15,151.6,235.3,28.2%,,,,,,,,,,0.5 hrs,1,0.0%,1.19,141.5,235.5,31.1%,,2.1 hrs,4,100.0%,1.14,143.0,222.5,27.5%,,,,,,,,,,15 hrs,28,39.3%,1.05,158.7,236.7,20.5%,,14 hrs,24,41.7%,1.18,156.3,238.0,29.7%,,1.2 hrs,2,0.0%,0.97,137.2,203.9,28.3%,,,,,,,,,,42 hrs,78,64.1%,1.14,147.4,217.4,26.3%,,7.0 hrs,13,53.8%,1.15,131.1,204.7,26.7%,,,,,,,,,
T1 ban,#xuf,https://tracker.gg/valorant/profile/riot/T1%20ban%23xuf,Immortal 2,146RR,Radiant,"1,065RR",0.294,328,0.645,719,0.061,68,Vandal,Assault Rifles,2614,Phantom,Assault Rifles,883,Operator,Sniper Rifles,347,16,20,18,22,21,23,28,20,31,13,21,18,21,20,156.0,136,157.3,1.13,53.1,5366.0,4739.0,1407.0,245.0,1.43,0.9,,986.0,,220.0,11.0,0,10,0.0%,0.0,0.0,0m,2,7,7.1%,72.8,0.5,7.2m,58,66,35.4%,89.2,0.6,53.7m,81,124,31.8%,18.9,0.2,54.5m,39,40,28.4%,76.5,0.7,29m,309,244,43.7%,95.7,0.8,61.5m,12,75,62.5%,89.2,0.5,44.5m,24,40,8.6%,74.7,0.6,14.9m,23,57,3.7%,86.1,0.8,54.8m,6,2,25.0%,135.8,1.0,2m,2,11,20.0%,123.5,1.0,14.3m,347,196,5.1%,135.2,0.9,70.4m,883,538,39.0%,134.7,0.8,50m,336,243,51.7%,81.9,0.5,56.5m,10,22,7.1%,39.4,0.4,16.6m,149,200,21.0%,86.5,0.7,37.6m,36,124,26.4%,42.1,0.3,25.8m,"2,614","2,408",46.3%,145.2,0.9,63.8m,10 hrs,17,58.8%,1.14,140.7,220.0,31.2%,,1.1 hrs,2,50.0%,1.18,154.1,247.6,25.0%,,0.9 hrs,2,50.0%,1.29,191.9,311.6,16.4%,,24 hrs,44,45.5%,1.26,165.3,263.2,31.7%,,5.7 hrs,9,33.3%,1.08,154.3,224.2,29.0%,,7.7 hrs,14,57.1%,0.94,143.9,217.8,30.1%,,,,,,,,,,31 hrs,55,61.8%,1.17,162.6,258.9,31.8%,,13 hrs,24,54.2%,0.98,141.9,227.0,25.4%,,9.8 hrs,17,41.2%,1.01,147.5,218.3,26.1%,,0.3 hrs,1,0.0%,0.53,95.2,157.1,35.3%,,10 hrs,19,36.8%,1.07,151.9,235.6,32.3%,,1.3 hrs,2,50.0%,0.86,127.2,193.0,21.5%,,3.2 hrs,5,60.0%,1.05,185.4,277.9,21.2%,,25 hrs,45,62.2%,1.26,175.5,270.6,31.0%,,3.2 hrs,7,71.4%,1.26,149.7,244.2,27.3%,,6.8 hrs,12,50.0%,1.10,145.6,222.5,34.0%,,7.4 hrs,14,42.9%,0.98,143.5,221.8,30.7%,,3.1 hrs,5,60.0%,1.05,145.8,211.6,32.0%,,,,,,,,,
100T stellar,#bden,https://tracker.gg/valorant/profile/riot/100T%20stellar%23bden,Immortal 2,109RR,Radiant,"1,021RR",0.226,295,0.716,934,0.058,75,Vandal,Assault Rifles,2484,Phantom,Assault Rifles,436,Spectre,SMGs,408,12,17,15,21,23,16,25,19,14,21,19,18,23,18,131.0,130,148.3,1.12,50.0,4389.0,3927.0,1614.0,223.2,1.53,0.8,,381.0,,199.0,6.0,2,2,12.5%,66.8,0.5,18.2m,2,4,20.0%,120.0,1.0,7.2m,34,44,34.5%,78.5,0.5,37.9m,75,118,36.3%,49.1,0.5,34.8m,86,42,26.0%,77.5,0.8,31.9m,212,215,42.5%,81.1,0.7,60.3m,100,62,54.5%,110.1,0.6,58m,1,28,0.0%,52.0,0.3,6.1m,52,31,53.4%,108.8,0.6,64.7m,,,,,,,0,18,0.0%,0.0,0.0,0m,7,117,0.0%,97.3,0.6,42.5m,436,484,29.3%,129.5,0.8,61.7m,205,202,49.8%,70.9,0.5,52m,5,28,3.4%,57.0,0.8,7.1m,408,174,21.4%,82.2,0.7,56.1m,205,145,25.3%,70.1,0.5,47.1m,"2,484","1,968",35.9%,138.5,0.8,64.1m,3.1 hrs,5,60.0%,1.21,131.6,195.8,25.5%,,2.2 hrs,4,25.0%,1.02,123.3,196.0,26.6%,,11 hrs,19,42.1%,0.93,136.9,206.1,23.0%,,3.6 hrs,7,0.0%,1.01,143.9,227.9,30.1%,,15 hrs,28,53.6%,1.12,144.8,220.4,25.0%,,14 hrs,25,60.0%,1.10,139.9,210.7,26.1%,,1.1 hrs,2,50.0%,1.30,146.0,222.1,27.9%,,,,,,,,,,24 hrs,44,59.1%,1.10,148.3,228.4,23.0%,,35 hrs,62,54.8%,1.24,158.8,232.4,22.6%,,4.3 hrs,8,25.0%,1.01,160.1,243.9,24.1%,,4.5 hrs,8,50.0%,1.10,135.7,213.0,25.5%,,4.5 hrs,9,33.3%,1.16,158.6,245.1,27.2%,,,,,,,,,,1.0 hrs,2,50.0%,0.94,144.1,215.2,24.7%,,3.7 hrs,7,100.0%,1.48,173.5,256.6,31.2%,,2.6 hrs,5,40.0%,0.99,125.5,195.2,24.6%,,7.4 hrs,13,30.8%,1.05,142.5,205.0,26.6%,,7.8 hrs,14,35.7%,1.04,152.6,228.7,25.7%,,,,,,,,,
